job_id,site,hostname,ip_address,host_class,date_first,date_last,kit_version,image_ref,mode,run_name,hb_status,train_n,class_0,class_1,class_2,learn_tasks,epochs_seen,configured,failure_class,advisory_only,signatures
a1e4c9bc-5721-4878-bf17-4bbd81ed27bb,RUMC_1,dl0.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.a766b4b,,swarm,,running,15,,,,2,2,0,,1,posix_spawn
a4ea2d7e-3eaa-4937-8c51-c3e3345e5149,RUMC_1,dl0.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.410f526,,swarm,1DivideAndConquer_unilateral_2026_04_08_075423,running,22,16,0,6,1,502,0,,1,posix_spawn
a6766aee-b7e7-478a-b33a-81e193ff7fd6,RUMC_1,dl0.tud.de,,test,2026-04-07,2026-04-07,1.4.0-dev.260407.4bddbd9,,swarm,1DivideAndConquer_unilateral_2026_04_07_193429,running,22,16,0,6,3,1004,0,,1,posix_spawn
be05a8e9-2595-4028-aed7-7f829f115039,RUMC_1,dl0.tud.de,192.168.33.197,test,2026-07-06,2026-07-06,1.5.0-dev.260706.5bc3b9c,,swarm,,running,15,,,,2,2,0,,1,posix_spawn
ca69f347-0d0b-4f14-9b67-353744253498,RUMC_1,xidradodeliap01.exid.umcn.nl,131.174.199.180,real,2026-07-30,2026-08-17,1.6.0,jefftud/odelia:current,swarm,1DivideAndConquer_unilateral_fold0_2026_08_13_091425,running,3582,3545,2,35,33,208125,0,,1,posix_spawn
cc06f27a-00fc-47f1-b992-10e3ceb12535,RUMC_1,xidradodeliap01.exid.umcn.nl,131.174.199.180,real,2026-06-11,2026-06-20,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_19_145953,running,3608,3571,2,35,50,167132,0,data_missing,0,posix_spawn|data_missing|read_only_fs
cde7528a-da13-4a0e-8fe7-49af2a2c1132,RUMC_1,?,,test,2026-04-07,2026-04-07,,,,,,22,16,0,6,2,0,0,,1,posix_spawn
cfa36533-a55c-47c1-9322-7fb723f8bf91,RUMC_1,dl0.tud.de,,test,2026-04-08,2026-04-08,1.4.1-dev.260408.40182cc,,swarm,1DivideAndConquer_unilateral_2026_04_08_061808,running,22,16,0,6,4,1854,0,,1,posix_spawn
d6486290-67c4-4dfe-b427-cbd9a3d24f3f,RUMC_1,xidradodeliap01.exid.umcn.nl,131.174.199.180,real,2026-06-11,2026-07-07,1.4.5-dev.260610.2cf6e82,,swarm,1DivideAndConquer_unilateral_2026_06_21_225638,running,3608,3571,2,35,80,347910,0,cert_mismatch,0,posix_spawn|cert_mismatch|data_missing|read_only_fs
e491fe34-2146-4242-939a-83534c4ac2cd,RUMC_1,xidradodeliap01.exid.umcn.nl,,real,2026-04-30,2026-05-12,1.4.4-dev.260430.64ef7b1,,swarm,MST_unilateral_2026_04_30_151952,running,3608,3571,2,35,3,40,0,cert_mismatch,0,posix_spawn|cert_mismatch
